repo,total_classes,cbo_mean,cbo_median,cbo_std,cbo_min,cbo_max,cbo_q1,cbo_q3,dit_mean,dit_median,dit_std,dit_min,dit_max,dit_q1,dit_q3,lcom_mean,lcom_median,lcom_std,lcom_min,lcom_max,lcom_q1,lcom_q3
yasserg/crawler4j,83,5.277,4.0,5.709,0,38,1.0,8.0,1.313,1.0,0.562,1,3,1.0,2.0,55.892,1.0,331.067,0,2979,0.0,4.5
SplashCodes/JAViewer,179,5.788,4.0,6.352,0,41,2.0,7.0,1.598,1.0,0.915,1,7,1.0,2.0,11.648,0.0,73.795,0,902,0.0,3.0
angryip/ipscan,383,4.987,3.0,4.814,0,34,2.0,6.0,1.666,1.0,1.63,1,24,1.0,2.0,4.151,0.0,12.473,0,124,0.0,2.0
chewiebug/GCViewer,291,5.275,4.0,4.803,0,29,1.5,8.0,2.165,1.0,2.336,1,24,1.0,2.0,49.045,1.0,236.706,0,3248,0.0,14.5
CalebFenton/simplify,311,8.987,8.0,7.413,0,48,4.0,12.0,1.373,1.0,0.768,1,4,1.0,1.0,20.743,0.0,75.981,0,782,0.0,3.0
puniverse/quasar,1349,3.386,2.0,5.108,0,80,1.0,4.0,1.497,1.0,1.171,1,13,1.0,1.0,35.997,0.0,433.681,0,14715,0.0,3.0
rememberber/WePush,276,6.83,2.5,7.896,0,35,1.0,13.0,1.58,1.0,1.469,1,7,1.0,1.0,25.149,1.0,111.704,0,1326,0.0,14.25
chentao0707/SimplifyReader,632,4.557,2.0,7.016,0,75,1.0,5.0,1.388,1.0,0.89,1,7,1.0,1.0,60.294,0.0,341.915,0,4668,0.0,3.25
javagrowing/JGrowing,19,1.526,1.0,1.679,0,7,1.0,1.0,1.0,1.0,0.0,1,1,1.0,1.0,1.947,1.0,4.403,0,19,0.0,1.0
charles2gan/GDA-android-reversing-Tool,16,2.562,2.5,1.459,1,5,1.0,3.0,1.0,1.0,0.0,1,1,1.0,1.0,57.375,0.0,228.168,0,913,0.0,0.25
objectbox/objectbox-java,392,5.128,4.0,5.219,0,28,1.0,7.0,1.755,1.0,1.847,1,30,1.0,2.0,103.661,0.0,485.828,0,5382,0.0,8.25
zhanghai/Douya,1244,5.604,4.0,6.353,0,57,2.0,7.0,1.625,1.0,1.087,1,14,1.0,2.0,28.398,1.0,198.599,0,4950,0.0,10.0
discord-jda/JDA,1343,8.851,6.0,12.414,0,234,4.0,11.0,1.823,1.0,1.189,1,6,1.0,2.0,127.267,3.0,1223.021,0,26792,0.0,21.0
booklore-app/booklore,582,7.947,5.0,7.293,0,49,3.0,12.0,1.038,1.0,0.216,1,4,1.0,1.0,11.588,0.0,56.476,0,703,0.0,1.0
go-lang-plugin-org/go-lang-idea-plugin,1132,8.12,6.0,8.87,0,150,4.0,10.0,2.073,2.0,1.327,1,24,1.0,3.0,110.029,3.0,2012.336,0,65703,0.0,15.0
square/sqlbrite,106,4.698,2.0,5.878,0,33,2.0,6.0,1.358,1.0,0.771,1,6,1.0,2.0,4.302,0.0,27.941,0,287,0.0,1.0
danielzeller/Depth-LIB-Android-,108,3.787,2.0,4.604,0,19,1.0,4.25,1.213,1.0,0.433,1,3,1.0,1.0,13.352,0.0,54.515,0,400,0.0,0.0
jdamcd/android-crop,31,4.29,1.0,5.563,0,22,1.0,5.5,1.387,1.0,0.667,1,3,1.0,2.0,26.484,0.0,80.434,0,396,0.0,6.0
zhkl0228/unidbg,1722,5.255,4.0,6.582,0,114,1.0,7.0,1.607,1.0,1.303,1,34,1.0,2.0,26.631,0.0,238.108,0,5886,0.0,1.0
JZ-Darkal/AndroidHttpCapture,317,4.713,3.0,6.568,0,60,1.0,6.0,1.416,1.0,0.798,1,4,1.0,2.0,37.003,0.0,259.305,0,3640,0.0,7.0
alibaba/dexposed,36,2.917,2.0,3.237,0,13,1.0,4.0,1.694,1.0,1.348,1,6,1.0,2.0,82.833,0.0,424.414,0,2546,0.0,4.0
hussien89aa/AndroidTutorialForBeginners,129,4.512,4.0,4.654,0,31,1.0,6.0,1.496,1.0,0.73,1,4,1.0,2.0,2.744,0.0,6.917,0,55,0.0,2.0
